# What each character's achievements said, and when. Not shipped.
# Safe to delete, at the cost of one cold pass -- which is not cheap here.
abcdé-shekzeer	2026-09-11 14:27:24	2560	399,400,401,402,403,405,1159,1160,1174,2090
abdirahman-shekzeer	2026-09-11 14:27:30	2450	
akerbz-shekzeer	2026-09-11 14:27:24	2596	399,400,401,402,403,405,1159,1174,2090,2092,2093
albatrowss-shekzeer	2026-09-11 14:27:24	2549	399,400,401,402,403,405,406,1159,1160,1174,2090,2091,2092,2093,5266,5267
angolina-shekzeer	2026-09-11 14:27:32	2403	399,400,401,402,403,405,1159,1160,1174,5266,5267
aomíne-shekzeer	2026-09-11 14:27:33	2379	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266
apologies-shekzeer	2026-09-11 14:27:30	2423	
ardasmage-mirage-raceway	2026-09-11 14:27:25	2485	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266
ay-shekzeer	2026-09-11 14:27:23	2614	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
backinbsns-shekzeer	2026-09-11 14:27:23	2688	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
bearia-shekzeer	2026-09-11 14:27:32	2428	399,400,401,402,406,1159,1174,2090,2092,2093
bigangryorc-garalon	2026-09-11 14:27:29	2461	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
biggestegoeu-shekzeer	2026-09-11 14:27:31	2451	399,400,401,402,403,1159,1174,2090,2092,2093
brokeasalwys-shekzeer	2026-09-11 14:27:26	2505	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
cavitaas-ook-ook	2026-09-11 14:27:24	2672	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266,5267
cavitas-everlook	2026-09-11 14:27:24	2564	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266,5267
coulozx-shekzeer	2026-09-11 14:27:31	2418	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266,5267
cruel-shekzeer	2026-09-11 14:27:32	2400	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266
cuckquatre-shekzeer	2026-09-11 14:27:26	2496	399,400,401,402,403,405,1159,1160,1174,2090,2092,2093
damagefwcker-shekzeer	2026-09-11 14:27:32	2405	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266,5267
dárckness-shekzeer	2026-09-11 14:27:33	2360	399,400,401,402,403,405,406,1159,1160,1174,2090,2091,2092,2093,5266,5267
derxibro-shekzeer	2026-09-11 14:27:31	2451	399,400,401,402,403,405,406,407,1159,1160,1174,2090,2092,2093,5266
Ðiønysus-shekzeer	2026-09-11 14:27:31	2426	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266,5267
dpskongen-shekzeer	2026-09-11 14:27:24	2540	399,400,401,402,403,405,1159,1160,1174
drkmovie-shekzeer	2026-09-11 14:27:30	2443	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266,5267
eternàl-shekzeer	2026-09-11 14:27:30	2450	
fdx-shekzeer	2026-09-11 14:27:24	2589	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266,5267
feelsblckman-shekzeer	2026-09-11 14:27:24	2590	399,400,401,402,403,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266,5267
flárin-shekzeer	2026-09-11 14:27:26	2513	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266,5267
flárín-shekzeer	2026-09-11 14:27:33	2371	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266,5267
fuzionz-garalon	2026-09-11 14:27:32	2404	399,400,401,402,403,405,1159,1160,1174,2090,2092,2093
gavno-shekzeer	2026-09-11 14:27:26	2503	399,400,401,402,403,405,406,1159,1160,1174,2090,2091,2092,2093,5266
